item_details,outletcode,shop_name
Chocos | Type: Chocos' (more chocolaty) | Size of units: 250 | Unit of Measure: g | Material: Pouch | Brand: Kellog's | Made in | Last Price: Jan_2025 Price: 60,0091,Afaas Mart
Oats | Type: Rolled Oats | Size of units: 400 | Unit of Measure: g | Material: Red packet | Brand: Kelloggs | Made in US | Last Price: Dec_2024 Price: 55,0091,Afaas Mart
Pasta | Type: Elbows | Size of units: 500 | Unit of Measure: g | Material: Packet | Brand: San remo | Made in | Last Price: Dec_2024 Price: 33,0091,Afaas Mart
Noodles | Type: Curry flavour | Size of units: 80 | Unit of Measure: g | Material: Yellow Packaging | Brand: Mamee | Made in | Last Price: Jan_2025 Price: 7,0091,Afaas Mart
Cake mix | Type: Vanilla | Size of units: 485 | Unit of Measure: g | Material: Blue packet | Brand: Pilsbury | Made in | Last Price: Jan_2025 Price: 48,0091,Afaas Mart
Frozen Beef | Type: Chunks | Size of units: 900 | Unit of Measure: g | Material: Yellow packet | Brand: Allana | Made in | Last Price: Jan_2025 Price: 105,0091,Afaas Mart
Normal Rice | Type: Normal Rice- packed | Size of units:1 | Unit of Measure: KG | Material: White cloth bag | Made in India | Last Price: Jan_2025 Price: 5,2301,Agora
Basmathi Rice | Type:fuson | Size of units:1 | Unit of Measure: kg | Material: purple pack | Brand: Dunar | Made in | Last Price: Jan_2025 Price: 42,2301,Agora
"Wheat Flour | Type: Wheat flour, normal | Size of units: 3.50 | Unit of Measure: Kg | Material: Packet | | Last Price: Jan_2025 Price: 17.5",2301,Agora
Whole Wheat Flour | Type: Chakki Atta | Size of units: 1 | Unit of Measure: kg | Material: Blue pakcet | Other Specification: | Brand: Pillsbury | Made in UAE | Last Price: Jan_2025 Price: 33,2301,Agora
Bread (sliced white) | Type: Big white bread | Size of units: 560 | Unit of Measure: Gram (Big) | Material: Plastic bag | Brand: Alcyon | Made in Maldives | Last Price: Jan_2025 Price: 23,2301,Agora
Bread (sliced white) | Type: white bread | Size of units: small | Unit of Measure: | Material: Plastic bag | Brand: Alcyon | Made in Maldives | Last Price: Jan_2025 Price: 14,2301,Agora
Buns | Type: Burger Bun | Size of units: 6 Piece | Unit of Measure: Small | Material: Plastic bag | Brand: Alcyon | Made in Maldives | Last Price: Jan_2025 Price: 20,2301,Agora
Frozen Paratta | Type: Wholemeal Paratta | Size of units:400 | Unit of Measure: 5 pcs | Material: | Made in India | Last Price: Jan_2025 Price: 42,2301,Agora
Cream crackers | Type: Cream Cracker | Size of units: 130 | Unit of Measure: Gram | Material: Green Packet | Brand: Kerk | Made in China | Last Price: Jul_2024 Price: 16.01,2301,Agora
Marie Biscuits | Type: Marie Biscuit | Size of units: 400 | Unit of Measure: Gram | Material: Transparent pack | Brand: CBL Munchee | Made in Malaysia | Last Price: Jan_2025 Price: 30,2301,Agora
Other crackers & alike | Type: double choice | Size of units:150 | Unit of Measure: g | Material: pink packet | Brand: chips more | Made in malaysia | Last Price: Jan_2025 Price: 27,2301,Agora
